,Text
0,  Saya merupakan seorang bekas doktor pelatih (houseman).
1,Cerita ini mungkin selalu didengari tetapi mungkin ada manfaat buat semua.
2,"Cerita ini mungkin panjang berjela, mohon dibaca sewaktu lapang dan maaf sekiranya ada kekurangan dari segi bahasa atau terlepas pandang."
3,Saya mula bekerja sebagai doktor pelatih pada November 2018.
4,"Waktu tu, saya memulakan tagging (tempoh waktu para pelatih menyesuaikan diri dengan sistem kerja di wad)."
5,"Pelbagai prosedur, sistem, cara merujuk kes mesti dipelajari dengan cepat agar pantas menyesuaikan diri."
6,Alhamdulillah para senior banyak membantu.
7,Saya masuk kerja pukul 6am dan balik 10pm untuk 2 minggu berturut ( balik kerja pukul 5pm pada hujung minggu).
8,Saya menetap di hostel hospital jadi nak pergi wad jalan kaki je.
9,Semuanya ok pada mulanya tetapi pada minggu kedua saya mula berasa kelainan pada diri saya.
10,"Sewaktu saya tidur pada malamnya, saya tiba tiba terjaga pukul 3am dan tak boleh sambung tidur."
11,"Esoknya saya perlu masuk kerja pukul 6am, membuatkan saya stcress dan akhirnya saya menangis."
12,Mungkin terlalu penat tetapi saya mulanya anggap ini perkara biasa.
13,Tetapi malam itu menjadi kemuncak tekanan.
14,"Saya buat solat sunat, cuba untuk menenangkan diri dan saya mengambil keputusan untuk memanggil Befrienders KL."
15,"Ia merupakan sebuah organisasi yang mendengar masalah dan isu para pemanggil, terutamanya kemurungan dan suicidal thoughts."
16,"Yelah, nak call orang lain pun, semua tengah tidur pukul 3 pagi."
17,Saya berbual dengan staf bertugas hampir sejam lamanya.
18,Alhamdulillah stafnya sangat lembut dan baik.
19,Beliau bertanyaÂ 1.
20,Boleh ceritakan apa yang terjadiÂ 2.
21,Apa punca kepada isu iniÂ 3.
22,"Apa yang boleh saya lakukan â€“ jujurnya waktu tu memang hanya nak berbual dengan seseorang, untuk lepaskan tekanan."
23,Tetapi pada masa yang sama saya terfikir untuk hadir ke klinik Psikiatrik untuk mengetahui sekiranya saya depressed.
24,Staf tersebut memberi saya nombor telefon klinik psikiatrik.
25,"Selepas berbual, saya rasa lebih lega tetapi saya tetap mengambil keputusan untuk hadir ke klinik Psikiatri."
26,Klinik Psikiatri di hospital saya boleh walk-in pada waktu pagi.
27,"Di sana, saya berjumpa doktor dan menceritakan masalah saya."
28,"Badan terasa letih, berat dan minda tidak dapat fokus kepada perbualan atau aktiviti."
29,Saya kurang suka melakukan aktiviti yang saya minati dahulu.
30,Saya kurang makan dan banyak termenung.
31,Fikiran saya selalu berfikir perkara negatif.
32,"Setelah diamati, rupanya saya telah mengalami simptom ini sejak seminggu lepas, tetapi saya kurang ambil peduli dan fikir â€œbiasalah baru mula kerja, penat tu biasaâ€."
33,Saya didiagnos sebagai Adjusment Disorder with depressive mood.
34,"Saya diberi ubat Lorazepam (benzodiazepine) untuk tidur dan Mirtazapine (antidepressant), diberi MC selama seminggu dan dirujuk ke pakar psikiatrik (Kes melibatkan houseman dirujuk ke pakar)."
35,Mulanya ingatkan dapatlah MC sehari dua je tapi tak sangka pula sampai seminggu.
36,Senior dan supervisor juga memahami situasi saya setelah saya bercerita kepada mereka dan saya cuba berehat dan muhasabah.
37,Saya dapat tidur dengan bantuan ubat tetapi mood dan emosi saya masih depressed.
38,"Setelah berjumpa doktor pakar pada lawatan seterusnya (setiap 2 minggu), saya didiagnos sebagai Major Depressive Disorder."
39,Dos ubat Mirtazapine dinaikkan kerana saya tetap depressed dan emosi tetap sama.
40,"Selepas 2 minggu, saya ditukarkan ubat dengan Sertraline (SSRI â€“ Selective Serotonin Reuptake Inhibitor)."
41,Tetapi mood tetap juga depressed.
42,Maka dos Sertraline dinaikkan pula.
43,"Sepanjang waktu MC dan rawatan, saya duduk bersama keluarga."
44,"Mereka sangat memahami dan menyokong, tidak pernah ada keluh kesah atau berputus asa dengan saya, terutamanya Mak."
45,Terima kasih atas keprihatinan dan kasih sayang keluarga.
46,Moga Allah membalas kebaikan mereka dengan rahmat dan rezekiNya di dunia dan akhirat.
47,"Pada bulan 3 rawatan, saya tetap belum pulih dan tetap mengalami depressed mood."
48,"Malah saya mula mengalami auditory hallucination, mula mendengar suara yang mengatakan saya tak berguna, lemah, bodoh dan kata kata negatif."
49,"Pada waktu ini saya diberi juga ubat antipsikotik (Aripiprazole) tetapi tetap sama, saya mendengar suara."
50,Doktor mencadangkan saya dimasukkan ke wad kerana saya sudah dikira sebagai Severe Major Depressive Disorder dan memerlukan rawatan ECT (Electroconvulsive Therapy).
51,Saya bersetuju kerana saya juga tahu rawatan ECT merupakan salah satu rawatan yang berkesan untuk severe type seperti yang saya alami.
52,"Semasa di wad, pelbagai jenis pesakit saya jumpa."
53,"Ada yang bipolar, skizofrenia, depressed, aggressive."
54,"Saya pernah menemui dan berbual dengan mereka sebagai pelajar perubatan dahulu, sekarang sebagai pesakit pula."
55,"Antara perkara yang saya tak dapat lupa, para pesakit di situ sangat baik."
56,Ada seorang uncle ni siap bagi KFC drumstick dekat saya sebab dia kesian tengok saya murung kot.
57,Haha terima kasih uncle.
58,"Selama 2 minggu di wad, saya menjalani 4 sesi ECT."
59,Saya berpuasa pada malam sebelum ECT.
60,"Esoknya, para pesakit dibawa ke bilik ECT."
61,"Sewaktu rawatan, doktor akan bagi ubat bius supaya kita tidur dan ECT dijalankan sewaktu kita tidak sedar."
62,Arus elektrik bervoltan rendah dialirkan di sekitar kepala dan kita tidak rasa apa apa sebab dah tidur.
63,"Jadi yang sakitnya pun sewaktu beri ubat bius (sakit sikit je) dan bangun bangun je dah ada atas katil, ada makanan terhidang."
64,"Tetapi mungkin akan rasa pening, sakit kepala, mual dan blur sedikit lepas bangun tidur, kesan ubat bius."
65,"Tapi jangan risau, kesannya selalunya beberapa jam sahaja."
66,Nurse dan doktor akan memantau keadaan pesakit selepas ECT.
67,"Sekiranya berlanjutan, doktor akan beri ubat bersesuaian dengan kesan yang kita alami  Kawan kawan dan keluarga datang melawat."
68,Mereka juga nampak saya lebih ceria selepas sesi rawatan dan saya juga rasa lebih positif dan baik.
69,Doktor juga membenarkan saya keluar selepas lengkap rawatan ECT.
70,Ubat saya ditukar pula kepada Desvenlafaxine (juga anti-depressant) dan Aripiprazole untuk halusinasi.
71,"Pada waktu ini, Aripiprazole menyebabkan saya rasa resah."
72,"Saya tidak boleh duduk diam di rumah dan bila hendak tidur, saya perlu menggunakan Lorazepam untuk tidur."
73,"Selepas berbincang dengan doktor, saya tidak perlu lagi menggunakan Aripiprazole kerana halusinasi juga hilang sehingga hari ini."
74,Saya masih dalam rawatan (Desvenlafaxine) dan pemantauan doktor tetapi sekarang saya lebih ceria dan positif.
75,Saya kembali menjalani kehidupan normal sebelum saya sakit.
76,"Saya sangat bersyukur dengan pertolongan doktor, keluarga dan kawan dalam proses pemulihan ini."
77,"Sekarang, saya telah meletakkan jawatan dan mencari peluang pekerjaan lain."
78,Mungkin rezeki saya di bidang perubatan setakat ini sahaja atau mungkin juga di lain masa.
79,"Apa pun, hidup tetap perlu diteruskan."
80,Saya tidak pernah menyesal melalui pengalaman ini kerana ia menjadi satu bahagian dalam hidup saya yang bernilai.
81,"Ada masa kita jatuh terduduk, ada masa kita akan kembali bangkit lebih tinggi dari sebelumnya."
82,"Saya percaya, satu pintu yang tertutup, ada pintu lain yang terbuka."
83,"Dan akhirnya kita akan melalui jalan kehidupan yang lebih bahagia, asalkan kita terus berusaha."
84,Pelbagai pengajaran saya pelajari sewaktu tempoh depression ini antaranya :  1.
85,"Sekiranya emosi kita terganggu atau stress, luahkan pada orang yang kita rapat, kawan â€“ kawan dan keluarga."
86,"Selalunya, sesi meluahkan perasaan amat membantu menstabilkan emosi."
87,"Sekiranya anda tidak selesa meluhkan pada kenalan, boleh cuba menghubungi Befrienders."
88,Mereka terlatih untuk mendengar isu dan masalah pemanggil dan tidak bersifat judgemental dengan isu kita.
89,2.
90,Dapatkan rawatan di klinik kesihatan / pakar psikiatrik sekiranya masalah tetap berpanjangan.
91,"Jangan sekali- kali merawat diri sendiri tanpa pemantauan doktor dan pakar bertauliah, dikhuatiri menyebabkan masalah lain pula."
92,3.
93,"Sekiranya tidak serasi dengan ubatan atau ubat tidak memberikan kesan, berbincang dengan doktor pakar dan nyatakan dengan jujur."
94,Doktor akan cuba mengoptimumkan rawatan.
95,Sesetengah ubat memerlukan tempoh untuk berkesan dan berbeza tempoh kecepatan dan keberkesanan.
96,Jangan malu kerana ia boleh menganggu rawatan dan menyebabkan kita mudah berputus asa.
97,Hadir bersama ahli keluarga atau kawan agar mereka juga faham rawatan dan situasi kita.
98,Mungkin ahli keluarga dan kawan boleh mengajukan soalan kita kalau kita malu.
99,Pastikan anda faham rawatan dan arahan doktor.
100,4.
101,Banyakkan bersabar dan lakukan akitiviti yang mendatangkan keseronokan.
102,Bersenam merupakan aktiviti yang sangat membantuÂ   5.
103,Jangan mudah menghukum orang pesakit pskiatrik.
104,"Ada yang kata kena sihir, gangguan jin dan pelbagai lagi yang boleh menyebabkan pesakit bertambah murung."
105,"Apa yang kita boleh lakukan adalah dengan memberi kata semangat, motivasi dan doa."
106,6.
107,"Tidak dinafikan ada kes yang melibatkan gangguan alam ghaib tetapi pada masa yang sama, berikhtiarlah dengan perawat bertauliah, professional dan rawatan yang terbukti dikaji dan berkesan di peringkat kinikal."
108,"Pendek kata, produk produk jualan di pasaran yang mendakwa boleh menyembuhkan penyakit psikiatrik mahupun fizikal adalah berkemungkinan besar merugikan duit dan tidak berkesan."
109,"Sekalipun berkesan, mungkin jangka pendek sahaja dan penjual produk tidak ada follow-up dan guideline yang diiktiraf."
110,"Para penjual produk, tolong jangan ambil kesempatan ke atas para pesakit untuk keuntungan semata ye."
111,Banyak orang cuba mencadangkan produk-produk ini kepada saya tetapi saya tidak mengambilnya.
112,"Akta Perubatan melarang para penjual mengiklankan produk yang boleh menyembuhkan 20 jenis penyakit, salah satunya penyakit psikiatrik."
113,7.
114,Banyakkan berdoa.
115,"Kepada yang Muslim, banyakkan solat sunat dan membaca Quran juga."
116,"Apa pun pegangan anda, fokuskan kepada aspek positif untuk sembuh."
117,Ia mungkin sukar untuk dilakukan di peringkat awal depression kerana fikiran negatif akan selalu datang.
118,"Di sinilah pentingnya kawan dan keluarga untuk memberi kata kata positif, semangat dan dorongan."
119,8.
120,Suicidal ideation (fikiran untuk membunuh diri) biasa berlaku kepada pesakit psikiatrik terutamanya depression.
121,Amat penting untuk ahli keluarga dan rakan rakan mengenali simptom depression.
122,Saya banyak berfikir mengenai mati tetapi alhamdulillah tidak ke tahap suicidal ideation.
123,Suicidal attempt amat tinggi di kalangan wanita tetapi completed suicide lebih tinggi di kalangan lelaki.
124,"Apa pun, hidup ini penuh dugaan dan cabaran tetapi ia juga diisi dengan kebahagiaan untuk yang berusaha."
125,Doakan agar saya diluaskan rezeki saya di dalam apa jua bidang (mana tahu saya kembali ke bidang perubatan) dan moga kita semua selalu memberi dorongan dan motivasi kepada satu sama lain.
126,"Terima kasih kerana membaca, moga ada manfaat untuk semua dan saya memohon maaf atas kekurangan penulisan saya."
127,"Selamat berjuang dan percayalah, ada sinar harapan untuk kita semua ğŸ™‚Â   Penulis: F Bos aku seorang founder produk."
128,Syarikatnya besar juga.
129,Bos aku ni kiranya seorang yang sangat berjaya sebab ada banyak syarikat yang dia uruskan.
130,Bos aku ni kategori Islamik sikit.
131,Setiap hari kami semua diterapkan dengan ajaran islam melalui aktiviti harian sebelum memulakan kerja.
132,"Kami baca doa, baca surah, diajar solat Dhuha, diajar solat taubat, solat hajat dan pelbagai lagi ilmu keagamaan yang bersilih ganti ustaz dan ustazah dijemput untuk datang mengajar."
133,Bos aku dipandang tinggi oleh masyarakat.
134,Ramai founder lain berasa cemburu dengan kejayaan bos aku menerajui syarikat.
135,Syarikat kami berkembang maju dan terkenal di seluruh Asia.
136,"Nama bos dan syarikat kami sering disebut-sebut sebagai sebuah jenama terbaik bukan saja dari segi penghasilan produk, malah mempunyai pasukan terbaik dalam menguruskan syarikat."
137,"Tetapi, kalau orang luar tahu apa yang berlaku di dalam syarikat."
138,Pasti mereka akan terkejut.
139,"Sebabnya, setiap kejayaan dan rekod yang dicanangkan kepada orang luar, semuanya adalah dusta semata."
140,Tiada yang benar langsung.
141,Aku jadi staf pun malu sebenarnya.
142,Malu giler kalau orang tahu.
143,Bos aku ni sangat sibuk.
144,"Bagi dia, hidup perlu sentiasa bekerja."
145,Tiada rehat.
146,Itulah yang diterapkan kepada kami.
147,Dia cukup pantang kalau staf tak jawab telefon walau masa tu adalah waktu tidur.
148,"Bagi dia, waktu tidur hanya cukup 2-3 jam saja setiap hari."
149,Dia akan melenting kalau staf balik rumah selepas waktu kerja jam 6 petang.
150,Dia juga akan sentiasa call dan whatsapp staf semasa hari cuti mingguan sabtu dan ahad.
151,Apatah lagi semasa Public Holiday.
152,"Itu adalah masa untuk bekerja, panggil meeting dan suruh datang ke rumah hantar report."
153,Bos akan membebel kalau staf nak ambil Annual Leave mahupun pergi holiday bersama family.
154,"Setiap kali dia membebel, aku akan rasa aku ni seorang loser yang telah memufliskan syarikat je gayanya."
155,Dia akan marah sesiapa saja di depan mata dia kalau dapat tahu ada staf yang bercuti walau dah dapat kebenaran dia.
156,"Semenjak bekerja dengan syarikat ni, aku diserang stress dan depression kerana sikap bos yang buruk."
157,"Ia sampai jadi tahap, aku takut dengar telefon berdering, cepat-cepat aku akan menjawab dan jantung aku akan berdegup pantas macam baru selesai lari marathon."
158,"Kalau dengar bunyi whatsapp masuk pun, jantung aku berdebar-debar kencang."
159,Takut sangat kena marah.
160,Takut sangat ada report yang salah atau task yang tak buat.
161,Sudah 2 tahun aku tak bercuti.
162,"Ya, aku memang ada dapat Annual Leave."
163,Tetapi aku sentiasa dipanggil masuk kerja pada hari cuti yang aku berhak untuk ambil.
164,"Apabila hujung tahun dan didapati cuti aku sangat banyak, bos cakap aku tak uruskan hidup aku dan cuti aku dengan baik."
165,Siap kena warning supaya tak buat lagi.
166,Oh ya!
167,Warning letter ni adalah makanan harian bos aku.
168,"Asal ada je yang dia tak gemar dengan kami, setepek warning letter kami akan terima daripada HR."
169,"Setakat ni, itulah medal dan rekod kejayaan aku sepanjang bekerja di syarikat ni."
170,"Semenjak tu, aku dah pasrah."
171,Tak berani nak ambil cuti langsung.
172,"Walaupun ada kecemasan dalam keluarga, semuanya aku serahkan kepada adik beradik untuk uruskan."
173,"Bayangkan la, nak masak atau nak ke toilet pun aku takut."
174,"Sudah beberapa tahun ni, aku takut sangat nak masak di rumah sebab risau semasa sibuk memasak, aku tak dengar bos call atau tiba-tiba bos nak buat meeting."
175,Aku rasa hidup aku sangat pathetic.
176,Sedih!
177,Kenapa aku tak tinggalkan je syarikat ni?
178,"Jangan risau, aku tetap akan tinggalkan syarikat ni suatu hari nanti."
179,Tetapi selepas aku berjaya capai impian aku.
180,"Buat sementara ni, aku terpaksa bertahan."
181,Impian aku insyaAllah akan dapat dicapai dalam sedikit masa lagi.
182,Banyak sudah kezaliman yang bos dah buat terhadap aku.
183,"Dia zalim dengan masa tidur aku, cuti mingguan aku, Public Holiday aku, Annual Leave aku."
184,"Aku tak pernah MC, tak pernah EL."
185,Bekerja 24/7 365.
186,Aku demam pun masih masuk office dan tak berani pergi klinik untuk ambil ubat.
187,"Bukan aku saja, malah staf yang lain pun sama."
188,"Kalau MC, tetap kena buat kerja walau apa cara sekalipun."
189,Aku rasa aku staf yang baik.
190,Tapi masih tak cukup bagus untuk dia.
191,Aku sangat komited dengan kerjaya dan aku tinggalkan keluarga aku demi keluarga dia.
192,Bos aku sangat family oriented.
193,"Family oriented bos aku ni bermaksud, staf adalah hakmilik kekal dia yang wajib ada dalam setiap majlis keluarga dia."
194,"Kalau ada yang tak hadir, siaplah, kena marah."
195,Gaji?
196,Kat sini gaji basic saja.
197,Double pay atau triple pay jika bekerja semasa cuti atau selepas working hours tu memang tak wujud dalam kamus syarikat ni.
198,"Kalau minta, memang kena reject saja."
199,"Paling best, sampai sekarang aku takde offer letter."
200,Amacam?
201,Korang doakanlah aku dapat kerjaya yang lebih baik daripada apa yang aku ada sekarang.
202,Aku bertahan ni pun sebab nak gaji yang seciput tu je.
203,Sambil cari lubang kerja lain.
204,"Bos aku cakap, kalau nak cari kerja di musim COVID ni, memang payah."
205,"Tapi aku percaya, Allah kan Maha Memberi Rezeki."
206,"InsyaAllah, aku juga percaya, Allah akan balas kezaliman bos terhadap kami ni sooner or sooner."
207,"Hakikatnya, ia dah pun berlaku terhadap syarikat ni."
208,Aku sangat bersyukur.
209,"Dengan setiap cabaran yang bos dan syarikat tanggung sekarang, bos dah mula tahu bercakap guna bahasa yang baik dan belajar minta maaf dengan kami."
210,Cuma dia masih tak boleh buang tabiat buruk bab menipu kepada masyarakat.
211,"Kalau sebelum ni, maki hamun adalah zikir harian dia kepada kami."
212,"Setakat ayat â€œbodohâ€, â€œtakde otakâ€, â€œpemalasâ€ tu, bagi aku ayat biasa macam mak-mak pujuk anak nak tidur."
213,Dah lali.
214,Ini kisah saya.
215,Saya menulis dalam keadaan masih dalam dilema tapi penuh dengan rasa happy.
216,Paling penting saya dah tak perlukan ssri ( antidepressant) untuk rasa betul betul gembira dengan hidup ini.
217,Alhamdulillah.
218,Dan ramadhan ini saya anggap satu platform untuk saya betul betul memohon dari Allah jalan mana yang perlu saya pilih untuk mencari rezeki.
219,Ya.
220,Saya masih lagi seorang houseman di sebuah hospital.
221,Tapi dalam dilema untuk resign.
222,Dalam masa kurang 2 tahun pengalaman housemanship saya.
223,Saya kehilangan tiga insan yang menjadi tulang belakang saya.5 bulan bekerja atok saya meninggal di hospital sama saya bekerja.8 bulan bekerja ayah saya meninggal di ccu juga di hospital sama saya bekerja.
224,Sayalah yang menghentikan cpr ayah saya sendiri yang dilakukan rakan sekerja saya.
225,Saya baru sebulan posting medical masa tu.
226,Dan tu adalah pengalaman cpr kali kedua untuk saya.
227,Betul betul saya hilang masa tu.
228,Saya MIA(missing in action bermaksud tidak datang kerja).
229,Didiagnos Major Depreasive Disorder.
230,Ambil ubat.
231,Saya pergi hospital tapi tak mampu masuk wad.
232,Saya dikira MIA.
233,Jadi gaji saya disekat.
234,Kemudian tahun yang sama nenek saya yang mengasuh dari kecil didiagnos kanser.
235,Masa tu sedikit motivasi untuk bekerja.
236,Beliau pun sedih dengan keadaan saya.
237,Jadi saya teruskan bekerja tanpa gaji selama 4 bulan.
238,Hinggalah nenek saya menghembuskan nafas terakhir 2bulan lepas.
239,Dalam masa tersebut saya terlalu faham bahawa bukan mudah untuk memjaga orang yang sakit terlantar.
240,Seminggu selepas nenek saya meninggal saya mendapat notis pendek untuk bertukar hospital.
241,Semua ni terlalu laju untuk saya.
242,Saya tak sempat nak rsa apa apa.
243,Saya cuma mampu menarik nafas panjang.
244,Jujurnya saya redha dengan semua ni walaupun terlalu sukar.
245,Cuma saya akan belajar redha juga jika menjadi seorang doktor bukan lagi rezeki saya.
246,Semua yang jadi menyebabkan saya cepat jadi depressed.
247,Pandangan saya tentang kehidupan banyak berubah.
248,Apatah lagi sekarang ni saya cuma ada ibu dan adik adik saya.
249,Salah ke kalau saya rasa nak resign sebab nak duduk dengan family je.
250,Nak cari rezeki tapi nk family depan mata.
251,Salah ke kalau saya taknak terlalu stress then depressed?
252,Salah ke?
253,"Penulis:  Umaira Banyak nak ceritakan, tapi aku bukan seorang yang pandai mengarang."
254,"Aku ini seorang yang pendiam, jarang berbual kecuali dengan orang yang rapat."
255,Aku ibu dengan 4 orang anak.
256,Doktor diagnos aku dengan depression(Kemurungan) sejak januari 2014.
257,Ujian DASS memang dah teruk sejak beberapa tahun sebelum tu tapi tak dapatkan rawatan.
258,"[Ujian DASS digunakan untuk menyaring seseorang individu bagi masalah kemurungan(depression), kerisauan(anxiety) dan juga tertekan(stress)]  Nak cerita tentang masa aku sakit teruk tu, aku berhari hari tak boleh tidur."
259,Menangis sendiri dalam gelap malam.
260,"Siang aku kerja macam biasa, urus anak-anak semua, tapi aku rasa seperti mayat hidup."
261,Umpama zombie.
262,"Malam aku menangis, nak tidur tapi gagal."
263,Berlarutan seminggu.
264,Masa tu aku buntu sebab ada masalah dengan pengasuh anak-anak.
265,Satu malam tu aku rasa macam seluruh dunia bertimpa atas kepala.
266,Segala flashback peristiwa dalam hidup terimbas.
267,"Segala kesilapan kebodohan dalam hidup menerpa, all at once."
268,"Esok paginya kebetulan cuti sebab anak belum dapat pengasuh, aku memandu tapi aku rasa macam bukan aku yang memandu."
269,"Aku bawa anak 1,2 dan 4."
270,Anak nombor tiga entah kenapa aku tinggalkan dengan suami.
271,"Suami ada masa tu dia tidur, tapi aku macam kena pukau antara sedar dan tak sedar, aku memandu ke rumah rakan sekerja lelaki yang paling buat aku stress kat tempat kerja."
272,Aku tak tau kenapa aku ke situ.
273,"Isterinya keluar kerja, dia, 3 orang anaknya, (salah seorangnya kawan kelas anak aku), dan ibu mertua dia ada."
274,Lepas dia hidang minuman aku pun balik.
275,Menuju pula ke rumah kakak aku.
276,"Sampai rumah kakak terus duduk rumah dia, dalam keadaan tak waras macam ada orang kawal badan aku."
277,Mereka layan aku macam aku ni nak bunuh diorang pulak.
278,Lima hari duduk rumah kakak dengan anak-anak dan mak abah aku pun datang duduk nak jaga aku.
279,"Lepas lima hari aku pujuk suami aku tolong la bawa kami balik, duduk rumah kakak aku di layan macam orang gila."
280,"Di angkat paksa mandi air limau, telinga aku disiram air, di hembus-hembus kakak dan abang ipar aku berlagak macam bomoh."
281,Panggil perawat tah siapa.
282,Aku tak perlukan semua tu.
283,"Tapi dalam hati aku sentiasa ingat ni ujian Allah.Kawan(nurse) call suruh datang klinik jumpa doktor, doktor tanya-tanya dan bagi surat rujukan ke pakar psikiatri."
284,"Begitulah kisah aku seorang ibu berkerjaya, pejuang MDD, dengan 4 anak kecil."
285,Dah bagitau dah yang aku ni tak reti mengarang.
286,Panjang cerita tapi aku ringkaskan.Sebelum aku tamatkan tulisan ini.
287,Aku nak bagi panduan sikit kepada masyarakat:  1.
